## This is a hack 
## all the dates are given as the current year (now 2021) so they will show up as comparison
20210807	1	614.56
20210808	1	615.56
20210808	3.25	618.81
20210808	2	620.81
20210809	1	621.81
20210813	1	622.81
20210814	1	623.81
20210814	3.75	627.56
20210815	1	628.56
20210815	4	632.56
20210815	1.5	634.06
20210816	1	635.06
20210816	1.9	636.96
20210820	0.75	637.71
20210820	0.4	638.11
20210820	0.8	638.91
20210821	3	641.91
20210822	2	643.91
20210823	1	644.91
20210823	4	648.91
20210824	1	649.91
20210825	1	650.91
20210827	14.5	665.41
20210827	1	666.41
20210830	5	671.41
20210901	5.25	676.66
20210903	4.25	680.91
20210904	2	682.91
20210905	4	686.91
20210905	1.6	688.51
20210906	5.25	693.76
20210907	4	697.76
20210908	1.7	699.46
20210909	2.6	702.06
20210910	1	703.06
20210912	1	704.06
20210922	0.75	704.81
20210924	1	705.81
20210924	1.5	707.31
20210925	1	708.31
20210925	3.75	712.06
20211001	2.4	714.46
20211003	1	715.46
20211004	1	716.46
20211004	1.4	717.86
20211004	2.3	720.16
20211004	0.5	720.66
20211005	0.5	721.16
20211005	0.5	721.66
20211005	1	722.66
20211005	1.6	724.26
20211006	0.5	724.76
20211007	1.75	726.51
20211008	2	728.51
20211008	0.5	729.01
20211008	2.25	731.26
20211009	1	732.26
20211009	2	734.26
20211010	1	735.26
20211010	1.5	736.76
20211010	2.25	739.01
20211011	0.75	739.76
20211011	1.2	740.96
20211011	2.5	743.46
20211012	1	744.46
20211013	1	745.46
20211017	1	746.46
20211018	1	747.46
20211019	2	749.46
20211019	1	750.46
20211019	1	751.46
20211020	1.25	752.71
20211021	10	762.71
20211022	1	763.71
20211022	1.5	765.21
20211023	1	766.21
20211023	2	768.21
20211024	1	769.21
20211024	1	770.21
20211024	0.75	770.96
20211025	1	771.96
20211025	3.3	775.26
20211026	4	779.26
20211027	17	796.26
20211029	5.5	801.76
20211029	0.5	802.26
20211030	1	803.26
20211031	1	804.26
20211031	2	806.26
20211102	1	807.26
20211102	1	808.26
20211102	1	809.26
20211102	0.4	809.66
20211103	1	810.66
20211104	20	830.66
20211105	1	831.66
20211106	1	832.66
20211106	1.5	834.16
20211107	1	835.16
20211107	2.5	837.66
20211108	1.4	839.06
20211108	2	841.06
20211109	2	843.06
20211109	1	844.06
