31/03/2018	110
14/04/2018	108.185
28/04/2018	106.3999475
12/05/2018	104.64434836625
26/05/2018	102.917716618207
09/06/2018	101.219574294007
23/06/2018	99.5494513181554
07/07/2018	97.9068853714058
21/07/2018	96.2914217627776
04/08/2018	94.7026133036918
18/08/2018	93.1400201841809
01/09/2018	91.6032098511419
15/09/2018	90.0917568885981
29/09/2018	88.6052428999362
13/10/2018	87.1432563920873
27/10/2018	85.7053926616178
10/11/2018	84.2912536827011
24/11/2018	82.9004479969366
08/12/2018	81.5325906049871

