  PID TTY          TIME CMD
 8014 ?        00:00:14 chrome
 8016 ?        00:00:00 sleep
 8131 ?        00:00:00 sleep
 8250 ?        00:00:00 sleep
 8269 ?        00:00:00 sleep
 8272 pts/3    00:00:00 ps
 9377 pts/2    00:00:00 bash
 9389 pts/2    01:04:04 firefox
12808 pts/3    00:00:00 bash
14370 ?        00:00:03 chrome
14382 ?        00:00:02 nacl_helper_boo
16610 ?        00:00:00 nacl_helper_boo
17536 ?        00:00:00 kworker/2:0
17537 ?        00:00:45 chrome
17550 pts/0    00:00:00 bash
17557 ?        00:00:01 kworker/3:2
17640 pts/0    00:00:00 bash
17642 pts/0    00:00:00 bash
17939 ?        00:31:22 chrome
19061 ?        00:00:00 easy_unlock
19130 ?        00:00:07 kworker/u9:0
19348 ?        00:00:14 kworker/u9:2
19482 ?        00:00:00 kworker/1:1H
21388 ?        00:00:01 kworker/2:2
21587 ?        00:00:00 kworker/1:1
24363 ?        00:00:00 kworker/3:1
24385 ?        00:00:09 mono
25204 ?        00:00:00 kworker/1:0
25418 ?        00:00:00 kworker/0:0H
25515 ?        00:03:22 chrome
25622 pts/0    00:00:00 sudo
25653 pts/0    00:00:00 sh
25909 ?        00:00:01 dbus-daemon
25924 ?        00:00:00 systemd-logind
25944 pts/0    00:00:00 su
25945 ?        00:00:00 xinit
25949 ?        00:09:23 Xorg
26009 ?        00:00:00 croutonxinitrc-
26018 ?        00:00:02 croutonpowerd
26019 ?        00:00:00 croutontriggerd
26031 ?        00:00:05 croutontriggerd
26032 ?        00:00:00 croutontriggerd
26036 ?        00:00:00 mawk
26037 ?        00:00:01 hexdump
26038 ?        00:00:00 hexdump
26039 ?        00:00:00 hexdump
26040 ?        00:00:00 hexdump
26041 ?        00:00:03 hexdump
26048 ?        00:00:00 xbindkeys
26053 ?        00:00:00 xinitrc
26063 ?        00:00:02 xfce4-session
26066 ?        00:00:00 dbus-launch
26067 ?        00:00:04 dbus-daemon
26070 ?        00:00:00 polkitd
26075 ?        00:00:00 xfconfd
26079 ?        00:00:00 ssh-agent
26080 ?        00:00:13 xfwm4
26082 ?        00:00:00 Thunar
26083 ?        00:00:30 xfce4-panel
26085 ?        00:00:06 xfdesktop
26086 ?        00:00:01 xfsettingsd
26088 ?        00:00:08 upowerd
26095 ?        00:00:39 xfce4-terminal
26099 ?        00:00:00 gvfsd
26108 ?        00:00:07 xfce4-power-man
26125 ?        00:00:01 panel-6-systray
26127 ?        00:00:00 panel-2-actions
26133 ?        00:00:00 gvfs-udisks2-vo
26136 ?        00:00:00 udisksd
26145 ?        00:00:00 gnome-pty-helpe
26151 ?        00:00:07 xscreensaver
26193 ?        00:00:04 zeitgeist-datah
26203 ?        00:00:00 polkit-gnome-au
26221 ?        00:00:08 pulseaudio
26227 ?        00:00:02 zeitgeist-daemo
26230 ?        00:00:00 at-spi-bus-laun
26234 ?        00:00:00 rtkit-daemon
26243 ?        00:00:03 zeitgeist-fts
26259 ?        00:00:00 xfce4-volumed
26263 ?        00:00:02 gvfsd-trash
26264 ?        00:00:00 cat
26268 ?        00:00:00 dbus-daemon
26280 ?        00:00:00 at-spi2-registr
26303 ?        00:00:00 gconfd-2
26764 ?        00:00:00 dconf-service
27843 ?        00:00:00 gvfsd-metadata
31863 ?        00:00:31 syndaemon
32665 ?        00:00:00 kworker/2:1H
